shipping_ID,Shipping_Address,City,State,Country,Postal_Code
0,"PSC 2224, Box 2284
APO AP 65880",Jordanborough,Arkansas,Kuwait,27879
1,"83909 Johnson Mall
Tranberg, MS 99017",Lake Ginatown,Georgia,Saint Vincent and the Grenadines,39336
2,"82101 Johnson Flat
West Ryan, MS 29075",Sarahville,Ohio,France,30845
3,"4542 Gary Lane
South Alexander, VI 27671",Lake Michelle,Arkansas,Sao Tome and Principe,30955
4,"6794 Caroline Crescent
East Karlside, GU 81379",Olsenville,Mississippi,Croatia,45429
5,"PSC 0419, Box 9123
APO AP 47991",Priceville,South Dakota,Peru,96819
6,"9400 Angela Motorway
Joannaborough, OR 84735",West Peter,Nevada,Solomon Islands,82007
7,"63672 Raymond Mill
Cobbview, SD 63353",East Kevin,Maine,Ireland,52315
8,"859 Cohen Brook Apt. 295
Hardyfort, FM 49293",Crystalborough,New Jersey,Portugal,27390
9,"1844 Amy Court
Cristinaport, FM 00824",Heathermouth,Nebraska,Australia,30613
10,"2263 Campbell Ville Apt. 134
North Theresa, MD 97457",New Garybury,Washington,Myanmar,58038
11,"0489 Tony Burg Suite 682
Brentland, LA 95298",Christopherview,Kentucky,Korea,22744
12,"676 Maurice Path
Lake Lisaborough, SD 06695",East Nathanielville,Maryland,Reunion,59258
13,"3861 Michael Dale Apt. 112
South Lindafort, MT 64927",Olsonchester,North Dakota,Bolivia,1711
14,"224 Santos Center Suite 540
West Matthewshire, AR 69104",North Janet,Vermont,Lebanon,25394
15,"37424 Nancy Walk
North Tony, VI 98230",Smithville,West Virginia,Estonia,58925
16,"6454 Christopher Drive
Wallacemouth, WA 90990",Lake Jasonville,Kentucky,Tunisia,31393
17,"107 Richard Hill
South Georgechester, MH 31843",South Katherineburgh,Ohio,Wallis and Futuna,26992
18,"247 Mary Pine
Ericmouth, WI 87873",Christopherside,Oklahoma,Trinidad and Tobago,22897
19,"42205 Young Drive
South Michaelaside, MS 46008",New Joelport,North Carolina,Australia,48329
20,"77634 Timothy Drive
Port Robertland, GU 28486",Roberthaven,Virginia,Algeria,33098
21,"263 David Haven
Amymouth, CA 00599",South Randallstad,New York,Macao,44171
22,"643 Thomas Mountains Apt. 386
East Christophermouth, KS 00675",Browningstad,New York,Wallis and Futuna,88315
23,"832 Matthew Streets Apt. 793
Juliaberg, DC 68369",Angelaborough,Vermont,Cameroon,61751
24,"4973 Megan Light
North Kelly, NV 23385",South Scott,Kentucky,Montenegro,4853
25,"272 Allen Roads
East Mitchell, AS 78518",Christopherchester,New Jersey,Turkmenistan,15543
26,"445 James Fall
Lake Kimfurt, OK 68689",Davisshire,Mississippi,Martinique,80852
27,"619 David Keys Suite 405
South David, FL 68663",West Jose,,Liberia,23405
28,"USNS Wong
FPO AE 10909",South Dennis,Delaware,Isle of Man,636
29,"7745 Francis Station
Derekhaven, WI 19254",Lisashire,Kansas,Northern Mariana Islands,41079
30,"80056 Melissa Gardens
Bryanthaven, OK 71796",Williamsberg,Washington,Andorra,79852
31,"2313 Martinez Road Suite 582
Port William, CA 01786",Longchester,Georgia,Palestinian Territory,15961
32,"9656 Jessica Mission Apt. 152
East Stephenstad, AZ 49785",North Rebecca,Minnesota,Antarctica (the territory South of 60 deg S),12710
33,"75156 Jones Turnpike Suite 326
Brittanyburgh, VT 16067",West Katherine,Kentucky,Germany,37349
34,"9370 Gonzalez Ferry
Morrisonfort, TX 76548",Kellyland,Nebraska,Swaziland,16075
35,"3423 Donald Lights Apt. 169
Kimbury, HI 42823",Michaelside,South Dakota,Ecuador,96819
36,"091 Cruz Avenue Apt. 406
Reidborough, CA 31440",East Mary,Idaho,Madagascar,59740
37,"402 Michael Union
Mcfarlandstad, PA 26755",Pamelaland,Alaska,Cape Verde,80134
38,"5111 Miller Circles Apt. 058
North Kathryn, AK 69280",East Matthewview,Ohio,Mauritania,15153
39,"64360 Bullock Branch
Lake Gloriachester, NM 02328",South Mark,Michigan,Singapore,38760
